Epiweek,Start,End,MT_epiweek
2012-1,1/1/2012,1/7/2012,27.1656343
2012-2,1/8/2012,1/14/2012,26.12040816
2012-3,1/15/2012,1/21/2012,27.29715967
2012-4,1/22/2012,1/28/2012,26.66441839
2012-5,1/29/2012,2/4/2012,26.53456608
2012-6,2/5/2012,2/11/2012,27.4753885
2012-7,2/12/2012,2/18/2012,27.00862958
2012-8,2/19/2012,2/25/2012,27.39657908
2012-9,2/26/2012,3/3/2012,27.05634877
2012-10,3/4/2012,3/10/2012,27.27115013
2012-11,3/11/2012,3/17/2012,26.64944944
2012-12,3/18/2012,3/24/2012,27.71724182
2012-13,3/25/2012,3/31/2012,27.13918259
2012-14,4/1/2012,4/7/2012,27.3829985
2012-15,4/8/2012,4/14/2012,27.24496282
2012-16,4/15/2012,4/21/2012,27.69290594
2012-17,4/22/2012,4/28/2012,28.39637208
2012-18,4/29/2012,5/5/2012,28.11259872
2012-19,5/6/2012,5/12/2012,27.8399905
2012-20,5/13/2012,5/19/2012,28.59770725
2012-21,5/20/2012,5/26/2012,28.53762465
2012-22,5/27/2012,6/2/2012,28.14649409
2012-23,6/3/2012,6/9/2012,28.59310828
2012-24,6/10/2012,6/16/2012,29.36
2012-25,6/17/2012,6/23/2012,29.03106067
2012-26,6/24/2012,6/30/2012,28.51170605
2012-27,7/1/2012,7/7/2012,27.31609548
2012-28,7/8/2012,7/14/2012,27.59277098
2012-29,7/15/2012,7/21/2012,27.20104628
2012-30,7/22/2012,7/28/2012,28.82571429
2012-31,7/29/2012,8/4/2012,28.20857143
2012-32,8/5/2012,8/11/2012,28.43714286
2012-33,8/12/2012,8/18/2012,28.40525986
2012-34,8/19/2012,8/25/2012,27.99578932
2012-35,8/26/2012,9/1/2012,27.05751162
2012-36,9/2/2012,9/8/2012,27.83258952
2012-37,9/9/2012,9/15/2012,27.72664323
2012-38,9/16/2012,9/22/2012,28.40468515
2012-39,9/23/2012,9/29/2012,27.99734571
2012-40,9/30/2012,10/6/2012,28.29861827
2012-41,10/7/2012,10/13/2012,27.72028349
2012-42,10/14/2012,10/20/2012,27.02864355
2012-43,10/21/2012,10/27/2012,28.27123014
2012-44,10/28/2012,11/3/2012,27.49996041
2012-45,11/4/2012,11/10/2012,26.92973811
2012-46,11/11/2012,11/17/2012,27.20674365
2012-47,11/18/2012,11/24/2012,27.31349261
2012-48,11/25/2012,12/1/2012,27.31242774
2012-49,12/2/2012,12/8/2012,27.07326366
2012-50,12/9/2012,12/15/2012,26.4931139
2012-51,12/16/2012,12/22/2012,26.34907672
2012-52,12/23/2012,12/29/2012,26.6559903
2013-1,12/30/2012,1/5/2013,26.78703054
2013-2,1/6/2013,1/12/2013,27.72532662
2013-3,1/13/2013,1/19/2013,26.71598142
2013-4,1/20/2013,1/26/2013,26.75412486
2013-5,1/27/2013,2/2/2013,27.72206858
2013-6,2/3/2013,2/9/2013,26.17310553
2013-7,2/10/2013,2/16/2013,25.65226483
2013-8,2/17/2013,2/23/2013,26.8083252
2013-9,2/24/2013,3/2/2013,27.69341674
2013-10,3/3/2013,3/9/2013,27.90364284
2013-11,3/10/2013,3/16/2013,27.94786695
2013-12,3/17/2013,3/23/2013,28.44559635
2013-13,3/24/2013,3/30/2013,28.40914215
2013-14,3/31/2013,4/6/2013,28.35661576
2013-15,4/7/2013,4/13/2013,28.44268707
2013-16,4/14/2013,4/20/2013,28.68708201
2013-17,4/21/2013,4/27/2013,27.90351481
2013-18,4/28/2013,5/4/2013,28.18878188
2013-19,5/5/2013,5/11/2013,27.85896181
2013-20,5/12/2013,5/18/2013,29.05857199
2013-21,5/19/2013,5/25/2013,28.4507868
2013-22,5/26/2013,6/1/2013,27.84471289
2013-23,6/2/2013,6/8/2013,28.27889475
2013-24,6/9/2013,6/15/2013,29.45729821
2013-25,6/16/2013,6/22/2013,29.9632375
2013-26,6/23/2013,6/29/2013,29.11818796
2013-27,6/30/2013,7/6/2013,27.89791722
2013-28,7/7/2013,7/13/2013,27.90690583
2013-29,7/14/2013,7/20/2013,27.51114537
2013-30,7/21/2013,7/27/2013,28.29446337
2013-31,7/28/2013,8/3/2013,27.93726657
2013-32,8/4/2013,8/10/2013,27.70284408
2013-33,8/11/2013,8/17/2013,27.52392512
2013-34,8/18/2013,8/24/2013,28.32116398
2013-35,8/25/2013,8/31/2013,28.13266279
2013-36,9/1/2013,9/7/2013,26.586742
2013-37,9/8/2013,9/14/2013,27.37266241
2013-38,9/15/2013,9/21/2013,28.04882771
2013-39,9/22/2013,9/28/2013,28.32074398
2013-40,9/29/2013,10/5/2013,27.80277866
2013-41,10/6/2013,10/12/2013,28.02793651
2013-42,10/13/2013,10/19/2013,28.14174725
2013-43,10/20/2013,10/26/2013,27.47963326
2013-44,10/27/2013,11/2/2013,26.9432303
2013-45,11/3/2013,11/9/2013,27.39557002
2013-46,11/10/2013,11/16/2013,26.91100366
2013-47,11/17/2013,11/23/2013,27.3513956
2013-48,11/24/2013,11/30/2013,27.2670155
2013-49,12/1/2013,12/7/2013,25.89849941
2013-50,12/8/2013,12/14/2013,27.01868964
2013-51,12/15/2013,12/21/2013,26.85199069
2013-52,12/22/2013,12/28/2013,26.73437232
2014-1,12/29/2013,1/4/2014,26.93469481
2014-2,1/5/2014,1/11/2014,26.33845223
2014-3,1/12/2014,1/18/2014,26.32002784
2014-4,1/19/2014,1/25/2014,25.86610085
2014-5,1/26/2014,2/1/2014,26.17589804
2014-6,2/2/2014,2/8/2014,26.52626525
2014-7,2/9/2014,2/15/2014,27.62809651
2014-8,2/16/2014,2/22/2014,27.6463151
2014-9,2/23/2014,3/1/2014,27.41982504
2014-10,3/2/2014,3/8/2014,27.68526496
2014-11,3/9/2014,3/15/2014,28.15774752
2014-12,3/16/2014,3/22/2014,26.7384351
2014-13,3/23/2014,3/29/2014,28.38102745
2014-14,3/30/2014,4/5/2014,28.29683358
2014-15,4/6/2014,4/12/2014,27.90361193
2014-16,4/13/2014,4/19/2014,28.27300259
2014-17,4/20/2014,4/26/2014,27.97253597
2014-18,4/27/2014,5/3/2014,28.70183723
2014-19,5/4/2014,5/10/2014,28.81950584
2014-20,5/11/2014,5/17/2014,28.61843189
2014-21,5/18/2014,5/24/2014,27.68083943
2014-22,5/25/2014,5/31/2014,28.56492061
2014-23,6/1/2014,6/7/2014,28.15516408
2014-24,6/8/2014,6/14/2014,29.31034376
2014-25,6/15/2014,6/21/2014,29.79659864
2014-26,6/22/2014,6/28/2014,29.05296402
2014-27,6/29/2014,7/5/2014,28.21757104
2014-28,7/6/2014,7/12/2014,28.08053354
2014-29,7/13/2014,7/19/2014,29.14214286
2014-30,7/20/2014,7/26/2014,29.62214286
2014-31,7/27/2014,8/2/2014,28.11069111
2014-32,8/3/2014,8/9/2014,27.95214286
2014-33,8/10/2014,8/16/2014,27.15220961
2014-34,8/17/2014,8/23/2014,28.1125261
2014-35,8/24/2014,8/30/2014,26.93406885
2014-36,8/31/2014,9/6/2014,27.93412857
2014-37,9/7/2014,9/13/2014,28.34632949
2014-38,9/14/2014,9/20/2014,28.8037594
2014-39,9/21/2014,9/27/2014,28.40313325
2014-40,9/28/2014,10/4/2014,28.93638425
2014-41,10/5/2014,10/11/2014,28.83295739
2014-42,10/12/2014,10/18/2014,28.09780558
2014-43,10/19/2014,10/25/2014,28.10682848
2014-44,10/26/2014,11/1/2014,28.43479901
2014-45,11/2/2014,11/8/2014,28.14570837
2014-46,11/9/2014,11/15/2014,27.19455579
2014-47,11/16/2014,11/22/2014,26.97329784
2014-48,11/23/2014,11/29/2014,27.29002889
2014-49,11/30/2014,12/6/2014,27.52427301
2014-50,12/7/2014,12/13/2014,27.57005202
2014-51,12/14/2014,12/20/2014,26.93444783
2014-52,12/21/2014,12/27/2014,26.4100851
2014-53,12/28/2014,1/3/2015,25.91698332
2015-1,1/4/2015,1/10/2015,26.59898317
2015-2,1/11/2015,1/17/2015,27.25810887
2015-3,1/18/2015,1/24/2015,26.75172789
2015-4,1/25/2015,1/31/2015,27.0135362
2015-5,2/1/2015,2/7/2015,26.22789116
2015-6,2/8/2015,2/14/2015,26.62614987
2015-7,2/15/2015,2/21/2015,27.26063001
2015-8,2/22/2015,2/28/2015,27.58204124
2015-9,3/1/2015,3/7/2015,27.93921559
2015-10,3/8/2015,3/14/2015,27.37159118
2015-11,3/15/2015,3/21/2015,28.11633873
2015-12,3/22/2015,3/28/2015,28.31200767
2015-13,3/29/2015,4/4/2015,27.56416345
2015-14,4/5/2015,4/11/2015,28.53791773
2015-15,4/12/2015,4/18/2015,28.96631245
2015-16,4/19/2015,4/25/2015,27.94399655
2015-17,4/26/2015,5/2/2015,27.74404247
2015-18,5/3/2015,5/9/2015,28.31472341
2015-19,5/10/2015,5/16/2015,28.79540483
2015-20,5/17/2015,5/23/2015,28.53032304
2015-21,5/24/2015,5/30/2015,28.97557607
2015-22,5/31/2015,6/6/2015,28.94460338
2015-23,6/7/2015,6/13/2015,27.99233893
2015-24,6/14/2015,6/20/2015,28.24395394
2015-25,6/21/2015,6/27/2015,29.77804272
2015-26,6/28/2015,7/4/2015,29.00748299
2015-27,7/5/2015,7/11/2015,29.0991889
2015-28,7/12/2015,7/18/2015,29.0965658
2015-29,7/19/2015,7/25/2015,29.3678751
2015-30,7/26/2015,8/1/2015,28.18158812
2015-31,8/2/2015,8/8/2015,27.41618849
2015-32,8/9/2015,8/15/2015,28.17343985
2015-33,8/16/2015,8/22/2015,28.76802721
2015-34,8/23/2015,8/29/2015,28.77535456
2015-35,8/30/2015,9/5/2015,29.05651722
2015-36,9/6/2015,9/12/2015,28.34433462
2015-37,9/13/2015,9/19/2015,28.29406929
2015-38,9/20/2015,9/26/2015,28.61842753
